R,G,B,white,stoneGreen,stoneBlue,vineYellow,red,ocher,black
33,217,62,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
145,113,35,0.0,0.0,0.0,0.5,0.0,0.5,0.0
107,74,59,0.5,0.0,0.0,0.0,0.0,0.5,0.0
51,30,16,0.0,0.0,0.0,0.0,0.5,0.0,0.5
255,67,9,0.0,0.0,0.0,0.5,0.5,0.0,0.0
103,154,219,0.5,0.0,0.5,0.0,0.0,0.0,0.0
54,50,40,0.0,0.0,0.0,0.0,0.0,0.5,0.5
54,240,101,0.5,0.5,0.0,0.0,0.0,0.0,0.0
136,196,29,0.5,0.0,0.0,0.5,0.0,0.0,0.0
102,12,85,0.0,0.0,0.5,0.0,0.5,0.0,0.0
120,35,35,0.0,0.0,0.0,0.0,0.5,0.5,0.0
61,29,42,0.0,0.0,0.5,0.0,0.0,0.5,0.0
54,70,74,0.5,0.0,0.0,0.0,0.0,0.0,0.5
62,77,13,0.0,0.0,0.0,0.5,0.0,0.0,0.5
250,66,155,0.5,0.0,0.0,0.0,0.5,0.0,0.0
82,77,37,0.0,0.5,0.0,0.0,0.0,0.5,0.0
255,196,18,0.5,0.0,0.0,0.5,0.0,0.0,0.0
141,163,52,0.0,0.0,0.5,0.5,0.0,0.0,0.0
16,48,44,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,135,100,0.0,0.5,0.5,0.0,0.0,0.0,0.0
250,89,9,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
252,213,0,0.75,0.0,0.0,0.25,0.0,0.0,0.0
247,23,0,0.0,0.0,0.0,0.25,0.75,0.0,0.0
255,96,0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
93,41,97,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
120,31,81,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
18,156,85,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
1,110,107,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0
245,75,130,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
240,33,90,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
64,127,209,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
119,168,245,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
117,250,117,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
33,217,62,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
97,82,56,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0
119,168,245,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
117,250,117,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
33,217,62,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
97,82,56,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0
112,48,50,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
255,180,0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
255,254,240,1.0,0.0,0.0,0.0,0.0,0.0,0.0
227,0,36,0.0,0.0,0.0,0.0,1.0,0.0,0.0
255,174,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,191,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,79,191,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102,51,26,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,43,43,0.0,0.0,0.0,0.0,0.0,0.0,1.0
252,213,0,0.75,0.0,0.0,0.25,0.0,0.0,0.0
255,22,45,0.8,0.0,0.0,0.2,0.0,0.0,0.0
252,81,42,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
255,109,64,0.5,0.0,0.0,0.25,0.25,0.0,0.0
97,62,63,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
60,79,76,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
255,100,46,0.25,0.0,0.0,0.5,0.25,0.0,0.0
90,112,59,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
181,161,28,0.0,0.0,0.2222222222222222,0.6666666666666666,0.0,0.1111111111111111,0.0
86,107,58,0.0,0.0,0.6976744186046512,0.2325581395348837,0.0,0.0,0.0697674418604651
79,105,57,0.0,0.0,0.6,0.2,0.0,0.2,0.0
64,77,43,0.0,0.0,0.5714285714285715,0.14285714285714282,0.0,0.0,0.28571428571428575
255,93,141,0.75,0.0,0.0,0.0,0.25,0.0,0.0
43,51,40,0.0,0.0,0.7142857142857144,0.0,0.0,0.10714285714285711,0.17857142857142852
